,duración (días),tipo_contenido
15803,57,audio
15804,56,video
15805,45,imagenes
15808,22,spam
15811,46,audio
15816,52,audio
15819,10,imagenes
15822,59,imagenes
15823,83,spam
15827,71,imagenes
15828,66,spam
15830,63,audio
15831,28,video
15832,15,audio
15833,47,spam
15834,79,video
15836,82,spam
15841,43,audio
15842,46,imagenes
15843,60,video
15844,11,video
15847,39,audio
15851,76,audio
15852,90,spam
15853,64,spam
15855,71,spam
15856,57,video
15858,86,video
15861,54,spam
15863,50,video
15864,43,video
15866,2,imagenes
15867,19,imagenes
15868,49,spam
15873,69,video
15874,17,video
15875,6,imagenes
15876,78,video
15877,13,spam
15879,66,audio
15881,34,spam
15882,51,imagenes
15884,71,spam
15885,5,video
15889,32,imagenes
15891,45,spam
15893,6,spam
15894,18,video
15897,2,spam
15898,4,audio
15901,13,audio
15902,55,imagenes
15903,64,imagenes
15906,83,audio
15907,2,imagenes
15909,3,audio
15913,36,video
15914,12,audio
15917,17,video
15924,60,audio
15925,62,spam
15926,86,audio
15928,41,spam
15929,66,imagenes
15931,11,audio
15933,59,video
15934,69,audio
15936,9,spam
15938,66,video
15941,41,audio
15946,9,imagenes
15947,53,imagenes
15948,38,video
15949,52,imagenes
15950,50,imagenes
15951,43,imagenes
15953,55,spam
15955,42,video
15958,9,audio
15960,64,video
15961,19,video
15962,50,imagenes
15965,21,audio
15968,20,video
15970,57,imagenes
15972,18,audio
15973,73,spam
15977,22,audio
15981,80,video
15983,65,spam
15984,84,spam
15987,55,spam
15991,1,audio
15992,89,spam
15994,30,audio
15995,24,audio
16000,85,video
16003,6,imagenes
16004,28,imagenes
16007,38,video
16009,34,video
16010,84,video
16011,62,spam
16016,58,spam
16023,66,spam
16026,87,spam
16028,57,audio
16030,29,imagenes
16031,46,spam
16036,16,imagenes
16037,73,video
16039,53,audio
16040,39,video
16041,81,spam
16043,64,imagenes
16045,42,spam
16046,67,audio
16052,32,video
16053,86,video
16056,66,imagenes
16059,1,video
16064,43,video
16066,90,audio
16067,59,spam
16068,29,imagenes
16069,84,spam
16072,32,audio
16073,10,spam
16075,11,video
16076,61,spam
16077,85,imagenes
16078,14,video
16079,31,imagenes
16080,77,video
16084,44,spam
16085,63,audio
16087,80,audio
16088,36,imagenes
16091,53,video
16092,11,video
16093,87,audio
16095,64,audio
16096,44,audio
16098,29,audio
16101,5,audio
16102,56,spam
16105,80,audio
16109,9,audio
16110,42,spam
16112,18,spam
16113,15,imagenes
16114,60,audio
16116,83,spam
16117,71,spam
16122,16,spam
16129,55,spam
16132,24,audio
16133,66,spam
16135,27,audio
16136,52,imagenes
16138,1,video
16148,25,spam
16149,40,video
16153,63,audio
16158,38,video
16160,66,spam
16161,59,spam
16162,27,spam
16165,63,imagenes
16166,41,imagenes
16167,44,spam
16168,49,audio
16169,71,imagenes
16170,77,video
16174,69,spam
16175,26,video
16178,61,imagenes
16179,74,video
16180,44,audio
16181,3,audio
16192,52,spam
16194,5,imagenes
16196,35,audio
16199,64,spam
16200,73,video
16209,86,spam
16210,51,audio
16215,2,video
16216,32,spam
16217,70,imagenes
16220,69,video
16221,39,imagenes
16222,87,spam
16223,59,audio
16224,59,spam
16227,26,audio
16228,87,video
16229,75,imagenes
16230,74,spam
16232,67,spam
16233,49,audio
16234,25,audio
16235,54,spam
16236,32,spam
16240,4,video
16241,85,imagenes
16248,16,audio
16249,63,video
16254,31,spam
16255,22,audio
16257,22,audio
16258,29,audio
16259,30,audio
16263,41,imagenes
16266,14,video
16267,37,spam
16275,41,spam
16276,68,audio
16281,24,audio
16282,4,spam
16284,32,video
16286,88,audio
16287,82,imagenes
16288,1,video
16290,60,spam
16292,11,spam
16294,33,audio
16295,42,audio
16299,7,imagenes
16302,7,video
16303,76,spam
16305,82,spam
16306,52,audio
16308,79,imagenes
16311,82,audio
16312,18,video
16313,73,video
16316,6,spam
16317,11,audio
16319,30,imagenes
16320,40,imagenes
16321,46,imagenes
16323,43,audio
16325,80,audio
16326,85,audio
16327,17,spam
16328,5,imagenes
16329,36,audio
16330,11,audio
16331,15,video
16337,36,audio
16343,19,spam
16344,3,imagenes
16345,76,imagenes
16346,54,video
16350,19,audio
16351,70,audio
16352,18,imagenes
16354,16,audio
16358,73,spam
16359,38,audio
16360,33,video
16361,24,spam
16362,37,audio
16364,83,video
16368,89,video
16369,65,video
16370,40,video
16371,80,imagenes
16372,50,spam
16375,24,imagenes
16377,7,video
16378,62,video
16381,39,spam
16383,82,spam
16385,27,spam
16386,47,audio
16389,21,video
16392,70,video
16394,19,spam
16395,20,imagenes
16397,65,video
16398,10,video
16399,11,spam
16401,7,audio
16402,8,spam
16403,42,video
16404,2,audio
16406,10,imagenes
16408,83,audio
16409,25,imagenes
16411,90,spam
16415,7,spam
16418,1,imagenes
16419,4,spam
16421,55,imagenes
16424,29,audio
16425,17,video
16429,76,audio
16431,76,spam
16433,53,imagenes
16434,17,audio
16441,3,imagenes
16442,22,audio
16443,83,imagenes
16444,51,video
16445,62,video
16446,23,imagenes
16448,6,spam
16450,23,video
16451,72,audio
16454,21,imagenes
16457,9,imagenes
16458,11,audio
16459,43,imagenes
16460,62,audio
16467,18,audio
16471,72,spam
16472,52,imagenes
16473,89,spam
16474,16,audio
16476,58,audio
16477,9,spam
16478,36,spam
16479,76,imagenes
16480,72,imagenes
16482,15,imagenes
16484,35,spam
16485,7,audio
16488,20,audio
16489,35,spam
16491,89,video
16494,22,audio
16495,72,audio
16496,56,spam
16497,87,video
16500,11,imagenes
16503,55,video
16505,38,imagenes
16506,64,imagenes
16512,39,spam
16514,51,video
16516,38,audio
16517,82,video
16518,13,imagenes
16519,77,spam
16520,31,audio
16521,67,video
16522,65,video
16523,21,spam
16524,70,audio
16527,49,imagenes
16528,82,imagenes
16530,45,video
16532,27,imagenes
16533,73,spam
16536,11,imagenes
16538,46,imagenes
16539,40,spam
16542,60,video
16543,81,audio
16544,4,spam
16545,85,audio
16547,16,audio
16548,3,audio
16551,28,imagenes
16553,80,audio
16554,21,audio
16555,82,imagenes
16556,84,spam
16557,80,video
16559,10,audio
16560,70,spam
16565,54,video
16567,43,spam
16568,32,audio
16569,68,audio
16571,11,spam
16574,26,spam
16577,53,video
16579,57,audio
16584,19,spam
16585,13,imagenes
16586,49,imagenes
16587,82,imagenes
16588,68,audio
16589,67,spam
16590,34,audio
16591,35,audio
16592,51,video
16593,35,imagenes
16602,74,video
16604,14,video
16610,12,audio
16611,74,imagenes
16613,46,spam
16614,89,video
16616,55,spam
16617,69,imagenes
16619,54,spam
16620,52,audio
16621,87,imagenes
16623,22,audio
16624,74,imagenes
16625,77,imagenes
16626,5,spam
16628,83,audio
16632,87,video
16634,63,imagenes
16635,81,audio
16636,37,video
16638,31,imagenes
16639,58,imagenes
16640,46,imagenes
16642,68,spam
16645,38,spam
16646,57,video
16647,6,imagenes
16648,41,spam
16649,72,imagenes
16651,6,audio
16652,40,imagenes
16654,84,audio
16655,70,audio
16658,67,audio
16659,78,video
16661,14,imagenes
16664,21,spam
16667,25,audio
16668,20,imagenes
16670,48,audio
16673,59,audio
16674,42,audio
16677,12,audio
16680,86,imagenes
16681,88,audio
16683,36,audio
16686,81,imagenes
16689,72,video
16693,67,video
16694,86,spam
16695,41,video
16697,39,imagenes
16702,48,audio
16703,56,imagenes
16707,5,video
16708,43,spam
16711,22,video
16713,11,imagenes
16714,63,imagenes
16717,66,spam
16719,35,imagenes
16720,26,audio
16721,23,video
16722,88,audio
16724,88,audio
16725,88,video
16727,51,video
16729,9,video
16730,35,video
16731,29,spam
16734,53,spam
16735,30,spam
16737,5,audio
16739,13,video
16740,51,imagenes
16743,20,imagenes
16744,8,video
16745,4,spam
16746,76,video
16748,80,spam
16752,26,video
16753,18,audio
16754,27,video
16756,28,video
16758,24,spam
16760,32,imagenes
16762,56,imagenes
16763,48,spam
16764,21,spam
16767,62,spam
16768,20,video
16769,42,imagenes
16771,6,imagenes
16772,72,spam
16775,32,audio
16776,79,video
16778,57,spam
16780,21,video
16782,13,audio
16784,81,video
16785,44,imagenes
16787,30,imagenes
16789,4,spam
16790,26,spam
16791,59,audio
16794,64,audio
16796,82,imagenes
16797,6,spam
16799,75,video
16800,3,imagenes
16801,89,imagenes
16802,75,audio
16810,68,audio
16812,71,video
16814,38,video
16819,38,imagenes
16820,43,video
16821,60,imagenes
16825,50,imagenes
16827,19,audio
16828,53,video
16829,28,audio
16830,4,audio
16833,82,imagenes
16837,8,audio
16838,3,imagenes
16839,73,video
16842,77,imagenes
16845,40,imagenes
16848,9,imagenes
16849,25,spam
16850,43,video
16851,8,imagenes
16853,62,audio
16856,61,audio
16860,3,spam
16862,14,video
16863,54,imagenes
16867,17,audio
16868,75,video
16871,45,imagenes
16873,68,video
16874,27,imagenes
16878,90,video
16880,50,audio
16882,76,spam
16885,64,video
16886,9,audio
16888,12,audio
16893,41,imagenes
16894,56,spam
16895,64,audio
16896,86,spam
16897,80,audio
16899,78,audio
16900,25,audio
16902,19,audio
16903,89,audio
16904,28,video
16907,64,audio
16909,32,imagenes
16913,26,audio
16916,75,imagenes
16919,57,audio
16921,75,imagenes
16923,89,audio
16924,27,audio
16925,15,spam
16927,41,spam
16928,63,spam
16929,58,imagenes
16932,39,spam
16933,77,spam
16935,47,spam
16947,88,imagenes
16949,52,spam
16951,57,audio
16952,67,audio
16954,6,spam
16955,12,video
16956,22,audio
16958,45,imagenes
16959,63,spam
16964,49,imagenes
16965,81,audio
16966,60,imagenes
16967,14,audio
16968,87,video
16970,17,imagenes
16971,86,spam
16972,18,imagenes
16973,55,video
16974,19,spam
16976,16,spam
16977,24,audio
16982,35,spam
16983,17,imagenes
16984,80,imagenes
16988,84,spam
16990,18,audio
16993,81,audio
16994,7,video
16995,19,audio
16996,86,spam
16998,9,video
16999,1,audio
17001,18,spam
17003,82,imagenes
17007,81,imagenes
17008,41,imagenes
17009,85,imagenes
17010,38,audio
17011,6,imagenes
17012,63,video
17020,54,audio
17022,61,imagenes
17023,77,imagenes
17025,58,imagenes
17027,42,spam
17029,10,audio
17030,47,imagenes
17032,50,spam
17033,83,spam
17036,89,spam
17041,26,imagenes
17042,76,imagenes
17043,36,audio
17047,1,video
17048,80,video
17049,67,imagenes
17052,43,video
17054,87,spam
17057,11,video
17060,32,imagenes
17061,71,audio
17062,6,imagenes
17064,38,spam
17066,64,spam
17069,3,video
17071,37,audio
17073,34,spam
17075,78,audio
17078,80,video
17079,7,audio
17081,57,spam
17082,6,spam
17083,26,spam
17084,45,video
17090,54,video
17091,73,spam
17092,49,video
17097,45,audio
17100,80,video
17102,52,imagenes
17104,82,video
17105,33,spam
17110,8,audio
17111,81,imagenes
17113,72,video
17116,23,spam
17118,87,imagenes
17120,42,spam
17124,33,imagenes
17127,32,video
17128,60,spam
17129,67,spam
17130,87,spam
17133,68,audio
17140,12,spam
17141,58,audio
17142,77,imagenes
17143,11,imagenes
17145,24,video
17146,53,audio
17147,29,audio
17149,70,video
17152,48,imagenes
17154,83,video
17156,78,audio
17162,16,audio
17164,88,audio
17165,18,video
17167,58,spam
17169,23,audio
17173,21,imagenes
17175,78,audio
17176,57,imagenes
17177,6,audio
17178,84,imagenes
17180,14,video
17185,72,imagenes
17187,49,video
17189,38,audio
17191,61,audio
17193,29,imagenes
17194,53,imagenes
17195,34,spam
17196,25,spam
17197,1,video
17198,53,audio
17205,26,imagenes
17207,51,video
17209,33,imagenes
17210,13,spam
17211,58,spam
17212,40,spam
17213,16,video
17215,65,video
17216,10,imagenes
17217,42,spam
17220,81,audio
17223,48,audio
17224,89,video
17225,20,spam
17226,73,audio
17230,4,audio
17234,61,imagenes
17235,77,audio
17236,64,video
17239,30,spam
17240,44,video
17247,48,imagenes
17248,30,video
17250,4,audio
17253,6,video
17254,62,imagenes
17255,59,spam
17259,14,spam
17260,19,spam
17262,60,spam
17264,60,video
17267,68,imagenes
17271,10,video
17272,42,spam
17277,44,spam
17278,49,audio
17282,45,imagenes
17284,16,audio
17286,37,audio
17288,68,imagenes
17294,79,video
17295,24,spam
17296,8,imagenes
17298,13,spam
17300,8,audio
17302,73,spam
17303,7,imagenes
17304,51,video
17306,59,video
17309,8,audio
17311,1,video
17312,13,audio
17316,11,audio
17322,46,imagenes
17323,49,imagenes
17324,37,audio
17327,52,imagenes
17328,65,spam
17335,53,audio
17336,70,audio
17341,59,imagenes
17344,6,spam
17345,67,video
17346,17,audio
17347,60,audio
17351,27,imagenes
17352,36,video
17355,37,imagenes
17356,65,spam
17357,57,audio
17358,1,imagenes
17359,8,audio
17361,16,spam
17363,29,imagenes
17364,17,spam
17365,58,video
17368,53,imagenes
17373,74,video
17376,28,spam
17378,40,spam
17385,47,spam
17386,71,spam
17387,49,spam
17389,1,spam
17394,77,audio
17395,27,spam
17396,73,video
17398,56,audio
17400,29,spam
17402,11,audio
17403,90,video
17404,10,spam
17405,70,audio
17408,89,audio
17409,73,spam
17412,63,spam
17414,73,spam
17416,61,video
17419,87,video
17421,7,imagenes
17423,12,video
17425,31,video
17431,35,spam
17432,32,audio
17435,32,spam
17436,36,spam
17437,25,spam
17439,12,video
17440,87,imagenes
17445,83,imagenes
17446,5,video
17448,20,imagenes
17452,30,spam
17454,81,video
17455,56,imagenes
17458,14,spam
17459,79,spam
17461,78,video
17462,75,spam
17464,47,audio
17465,42,video
17466,78,spam
17468,4,audio
17469,77,audio
17470,39,spam
17471,72,spam
17472,16,spam
17473,41,video
17474,11,spam
17476,78,spam
17477,27,imagenes
17478,3,imagenes
17479,33,imagenes
17480,21,video
17482,54,audio
17483,67,spam
17485,14,imagenes
17490,65,audio
17493,30,imagenes
17496,84,audio
17497,44,video
17498,80,spam
17499,36,spam
17501,33,audio
17502,76,imagenes
17503,21,spam
17508,40,imagenes
17512,23,spam
17517,56,imagenes
17521,21,imagenes
17524,50,video
17525,77,imagenes
17526,90,audio
17527,84,audio
17529,84,audio
17534,36,imagenes
17535,55,spam
17537,34,imagenes
17538,54,imagenes
17540,10,imagenes
17541,83,audio
17542,84,audio
17544,14,spam
17545,68,audio
17546,81,spam
17547,53,video
17554,15,video
17555,59,spam
17556,69,audio
17558,7,audio
17559,68,spam
17561,40,imagenes
17562,76,video
17563,86,video
17565,22,audio
17566,69,audio
17569,37,imagenes
17571,16,audio
17572,79,spam
17574,53,imagenes
17576,13,audio
17577,3,spam
17579,16,video
17580,9,audio
17582,80,video
17585,86,imagenes
17587,34,spam
17590,83,imagenes
17591,78,spam
17593,82,imagenes
17594,57,spam
17596,7,video
17600,50,imagenes
17604,12,audio
17605,22,spam
17606,35,audio
17608,41,spam
17609,48,spam
17613,22,video
17615,71,spam
17616,25,video
17618,73,video
17619,57,imagenes
17625,19,audio
17626,18,audio
17627,61,spam
17628,57,imagenes
17629,41,spam
17630,52,video
17631,74,video
17632,3,imagenes
17633,35,audio
17634,25,audio
17637,4,imagenes
17639,46,imagenes
17641,43,imagenes
17642,41,video
17644,13,imagenes
17646,61,imagenes
17647,2,spam
17651,18,video
17652,4,imagenes
17653,7,spam
17655,85,spam
17656,44,video
17657,16,imagenes
17658,68,video
17660,49,audio
17661,16,spam
17663,90,video
17665,2,imagenes
17667,85,video
17668,78,video
17669,26,audio
17670,43,spam
17671,33,imagenes
17672,44,spam
17676,38,imagenes
17678,8,video
17679,33,audio
17680,14,audio
17683,64,audio
17686,38,audio
17688,83,spam
17690,83,imagenes
17693,9,audio
17694,14,audio
17696,59,audio
17697,51,imagenes
17698,72,audio
17699,7,audio
17700,86,audio
17701,63,audio
17703,55,video
17706,18,audio
17707,4,video
17708,81,spam
17709,58,spam
17711,67,imagenes
17712,75,video
17715,32,imagenes
17717,26,video
17719,66,video
17720,16,audio
17721,82,video
17724,10,video
17726,3,audio
17728,16,spam
17731,55,spam
17733,19,video
17734,70,audio
17735,14,audio
17737,24,audio
17740,9,imagenes
17743,18,video
17745,78,spam
17748,54,imagenes
17749,80,imagenes
17751,3,video
17752,85,video
17753,52,spam
17755,21,imagenes
17756,64,spam
17758,36,video
17759,44,video
17760,84,spam
17761,4,video
17764,17,imagenes
17765,40,imagenes
17766,37,video
17773,9,audio
17776,63,spam
17777,62,imagenes
17778,44,video
17779,70,video
17781,24,spam
17782,50,audio
17783,54,spam
17784,68,spam
17789,15,audio
17790,50,video
17793,87,audio
17794,48,audio
17795,6,imagenes
17798,48,video
17800,86,imagenes
17802,90,spam
17803,74,imagenes
17804,67,spam
17805,44,video
17806,37,spam
17808,14,video
17809,18,audio
17810,73,audio
17811,83,video
17812,65,imagenes
17813,31,spam
17817,21,imagenes
17818,56,video
17819,31,imagenes
17820,64,spam
17821,33,audio
17824,29,imagenes
17827,21,video
17828,5,video
17836,82,audio
17837,13,imagenes
17840,23,spam
17842,66,spam
17843,65,spam
17849,46,video
17851,90,video
17853,8,imagenes
17855,67,spam
17859,60,imagenes
17860,43,audio
17861,5,audio
17862,83,audio
17864,44,imagenes
17866,17,imagenes
17867,57,audio
17872,66,video
17874,79,video
17875,26,audio
17876,29,imagenes
17881,29,spam
17882,60,video
17884,6,spam
17885,7,audio
17886,54,audio
17889,68,imagenes
17890,1,spam
17891,41,audio
17893,23,audio
17895,53,spam
17898,13,spam
17900,75,audio
17903,17,imagenes
17906,46,imagenes
17907,65,spam
17909,66,audio
17910,14,audio
17912,35,audio
17916,37,audio
17917,37,imagenes
17918,57,video
17921,6,spam
17923,29,spam
17924,45,imagenes
17925,77,imagenes
17931,61,spam
17933,82,video
17935,38,imagenes
17937,71,spam
17938,61,imagenes
17940,7,imagenes
17942,55,imagenes
17944,53,spam
17945,88,spam
17950,68,video
17952,79,audio
17953,40,audio
17954,18,audio
17957,50,audio
17959,15,video
17960,78,video
17961,57,imagenes
17962,80,imagenes
17965,66,spam
17968,73,imagenes
17969,6,imagenes
17970,11,audio
17971,40,imagenes
17972,13,audio
17973,82,imagenes
17974,34,audio
17975,70,video
17978,6,video
17981,78,spam
17984,83,imagenes
17987,21,video
17988,66,audio
17989,90,audio
17990,8,spam
17995,20,imagenes
17997,41,audio
18000,28,audio
18001,79,audio
18003,33,audio
18007,49,audio
18008,35,video
18009,74,video
18010,14,imagenes
18011,53,audio
18013,20,audio
18015,24,video
18016,32,imagenes
18017,90,imagenes
18018,14,video
18019,35,spam
18022,34,imagenes
18024,22,video
18025,27,imagenes
18027,71,imagenes
18028,72,imagenes
18030,86,video
18031,71,audio
18034,79,video
18045,77,video
18046,73,spam
18048,24,video
18049,54,imagenes
18050,12,spam
18051,72,imagenes
18053,4,imagenes
18054,1,audio
18055,34,imagenes
18059,22,imagenes
18062,37,video
18064,23,imagenes
18069,83,audio
18071,61,spam
18076,42,spam
18077,24,imagenes
18079,22,imagenes
18081,5,spam
18087,22,spam
18088,56,video
18091,71,spam
18092,3,imagenes
18093,36,imagenes
18094,1,imagenes
18095,31,video
18096,2,spam
18097,41,video
18098,29,audio
18100,41,imagenes
18101,59,imagenes
18103,74,video
18106,81,spam
18110,62,spam
18112,7,imagenes
18113,20,imagenes
18115,90,audio
18116,69,audio
18117,1,imagenes
18118,15,imagenes
18119,26,video
18120,28,audio
18121,26,imagenes
18122,56,video
18123,84,spam
18124,85,audio
18125,4,video
18127,60,spam
18128,26,audio
18129,32,spam
18130,28,imagenes
18131,78,audio
18135,31,video
18136,73,imagenes
18137,51,audio
18138,57,audio
18139,51,video
18140,63,spam
18142,72,spam
18146,60,imagenes
18147,11,imagenes
18148,33,video
18150,21,video
18152,4,imagenes
18157,11,spam
18160,10,spam
18162,76,video
18163,12,audio
18164,76,spam
18165,55,imagenes
18166,66,spam
18169,68,audio
18172,78,audio
18173,35,audio
18174,61,video
18176,27,imagenes
18179,54,audio
18180,10,imagenes
18184,46,audio
18188,38,spam
18189,68,video
18191,27,imagenes
18192,49,imagenes
18193,62,video
18194,71,video
18197,3,spam
18200,35,imagenes
18201,53,imagenes
18202,79,imagenes
18205,53,audio
18208,69,imagenes
18209,88,video
18210,54,audio
18212,51,spam
18216,73,audio
18217,11,imagenes
18218,83,imagenes
18219,46,spam
18225,15,audio
18226,60,video
18227,67,audio
18228,86,imagenes
18229,32,audio
18230,33,audio
18232,75,spam
18234,39,audio
18235,37,video
18237,28,spam
18238,22,audio
18239,67,spam
18240,18,audio
18241,4,spam
18243,61,imagenes
18244,11,spam
18245,16,video
18247,89,spam
18248,4,spam
18250,26,spam
18251,2,video
18252,49,imagenes
18253,47,spam
18255,45,spam
18257,47,audio
18259,80,imagenes
18261,88,spam
18267,64,imagenes
18269,22,imagenes
18270,10,imagenes
18271,17,imagenes
18272,55,imagenes
18273,4,imagenes
18274,9,spam
18275,73,spam
18276,68,spam
18278,49,audio
18281,49,video
18282,19,imagenes
18283,47,audio
18285,23,spam
18286,40,audio
18287,21,spam
18292,78,imagenes
18293,53,video
18294,1,imagenes
18295,88,imagenes
18296,19,video
18297,14,video
18298,40,audio
18300,9,spam
18301,59,spam
18302,59,audio
18303,64,audio
18305,14,audio
18306,89,imagenes
18307,17,video
18309,29,imagenes
18310,13,video
18311,75,spam
18313,45,video
18315,73,audio
18316,11,spam
18317,33,imagenes
18318,5,imagenes
18319,35,spam
18320,1,spam
18322,18,spam
18323,72,audio
18324,54,audio
18325,51,video
18326,20,spam
18329,63,audio
18330,60,imagenes
18334,59,video
18335,60,audio
18336,29,spam
18340,44,spam
18343,59,audio
18345,12,imagenes
18346,6,spam
18348,23,video
18352,44,spam
18353,70,video
18355,74,spam
18358,86,imagenes
18360,82,spam
18361,15,imagenes
18365,36,audio
18367,32,audio
18368,59,audio
18370,21,spam
18375,77,spam
18376,25,video
18378,34,audio
18381,75,video
18382,13,imagenes
18384,47,imagenes
18385,43,video
18386,14,video
18387,15,video
18390,20,spam
18392,40,video
18393,27,audio
18396,57,spam
18399,54,imagenes
18401,40,spam
18402,70,spam
18403,5,audio
18407,34,audio
18408,18,spam
18410,73,audio
18411,67,video
18412,47,audio
18413,21,spam
18415,39,audio
18419,77,imagenes
18420,83,video
18422,1,video
18423,37,imagenes
18426,25,imagenes
18427,87,audio
18429,77,spam
18430,40,audio
18431,22,spam
18434,19,spam
18435,90,video
18437,32,audio
18439,15,imagenes
18444,22,audio
18445,74,video
18447,65,spam
18448,38,audio
18452,34,spam
18453,11,imagenes
18458,42,video
18459,35,imagenes
18461,68,spam
18462,1,imagenes
18466,78,spam
18468,8,imagenes
18470,25,audio
18474,77,video
18479,56,audio
18480,32,spam
18482,18,video
18483,38,video
18489,1,audio
18490,81,imagenes
18493,86,imagenes
18495,12,video
18496,86,imagenes
18497,85,imagenes
18498,41,video
18499,55,imagenes
18501,78,audio
18503,60,imagenes
18507,11,imagenes
18511,7,imagenes
18512,40,spam
18514,63,imagenes
18515,30,video
18518,43,imagenes
18523,28,video
18525,55,spam
18528,50,spam
18531,63,video
18534,66,imagenes
18535,7,audio
18536,34,spam
18539,82,audio
18540,27,imagenes
18543,33,audio
18545,63,audio
18547,78,audio
18548,19,spam
18550,46,spam
18551,34,video
18552,50,imagenes
18553,17,spam
18555,67,video
18556,75,video
18557,6,video
18558,53,audio
18561,15,imagenes
18562,74,spam
18563,67,audio
18564,90,imagenes
18565,12,spam
18568,1,video
18569,10,video
18571,16,video
18572,33,spam
18573,65,video
18574,19,imagenes
18576,8,audio
18578,81,imagenes
18580,35,video
18581,53,spam
18582,49,audio
18584,13,video
18585,81,audio
18586,14,imagenes
18587,75,imagenes
18590,40,spam
18591,49,imagenes
18593,11,spam
18596,90,imagenes
18598,33,audio
18599,14,imagenes
18600,26,spam
18601,63,audio
18603,19,audio
18605,45,spam
18608,25,audio
18609,7,imagenes
18610,11,audio
18612,11,video
18614,23,spam
18615,53,spam
18619,48,spam
18620,39,imagenes
18624,77,imagenes
18629,48,imagenes
18630,71,imagenes
18631,74,video
18632,36,spam
18633,53,audio
18636,54,video
18638,66,video
18640,57,video
18641,64,video
18649,33,video
18651,80,spam
18652,80,audio
18653,79,audio
18657,51,video
18658,27,spam
18659,59,imagenes
18660,24,spam
18664,65,imagenes
18665,69,imagenes
18667,10,imagenes
18670,77,video
18671,40,spam
18673,13,imagenes
18674,35,spam
18675,2,audio
18676,42,audio
18677,4,spam
18678,78,audio
18679,45,spam
18681,36,audio
18688,29,video
18691,75,spam
18693,31,audio
18694,90,audio
18696,34,video
18707,1,video
18709,26,imagenes
18713,85,video
18714,74,spam
18715,35,spam
18716,39,imagenes
18718,61,video
18722,74,video
18723,89,imagenes
18724,21,spam
18725,58,audio
18729,21,audio
18730,89,audio
18731,80,video
18734,84,audio
18735,7,imagenes
18737,15,spam
18738,21,video
18740,90,audio
18741,37,audio
18742,55,imagenes
18747,50,imagenes
18748,58,spam
18750,26,audio
18753,54,audio
18754,35,video
18755,83,spam
18761,83,imagenes
18764,53,imagenes
18767,24,video
18773,53,spam
18774,54,spam
18776,14,audio
18777,52,imagenes
18780,35,audio
18782,60,spam
18783,44,video
18785,74,imagenes
18790,60,imagenes
18791,50,imagenes
18793,23,audio
18795,20,imagenes
18796,29,spam
18801,43,imagenes
18803,4,spam
18805,54,audio
18807,49,imagenes
18808,86,video
18813,17,imagenes
18815,82,spam
18817,74,audio
18820,78,audio
18824,75,spam
18825,40,audio
18826,71,audio
18829,18,spam
18830,1,spam
18833,76,audio
18834,50,imagenes
18835,20,video
18836,86,imagenes
18837,81,video
18838,51,video
18839,38,audio
18843,70,video
18844,80,audio
18845,89,spam
18846,13,audio
18848,32,audio
18849,88,spam
18854,63,audio
18857,7,spam
18858,88,audio
18859,14,audio
18860,90,spam
18861,89,spam
18863,77,imagenes
18868,32,imagenes
18869,46,imagenes
18870,87,video
18871,2,spam
18872,85,imagenes
18874,59,video
18876,21,imagenes
18878,41,spam
18879,33,spam
18880,1,audio
18883,79,video
18887,82,imagenes
18888,45,video
18894,58,audio
18895,68,video
18897,38,video
18898,84,audio
18900,56,audio
18904,45,audio
18905,60,imagenes
18907,75,audio
18908,54,imagenes
18910,27,video
18911,87,spam
18912,80,audio
18913,78,imagenes
18914,84,imagenes
18915,48,spam
18916,22,video
18919,16,spam
18920,73,video
18922,58,video
18925,75,imagenes
18926,38,video
18928,64,video
18929,11,audio
18930,84,imagenes
18931,75,spam
18932,32,video
18934,58,audio
18935,18,imagenes
18944,30,audio
18945,65,spam
18947,78,imagenes
18949,36,video
18950,66,video
18951,81,video
18954,19,spam
18956,13,spam
18957,22,video
18958,15,audio
18960,1,audio
18961,32,spam
18966,36,video
18968,50,spam
18970,40,imagenes
18971,5,imagenes
18972,90,audio
18974,33,imagenes
18977,10,imagenes
18980,47,imagenes
18983,65,spam
18986,67,video
18987,36,spam
18988,23,audio
18990,83,spam
18992,90,spam
18993,8,imagenes
18994,69,spam
18995,29,audio
18996,71,imagenes
18997,74,spam
18998,82,imagenes
19003,65,audio
19006,87,spam
19007,22,video
19008,64,video
19011,41,imagenes
19012,48,audio
19016,30,spam
19020,51,spam
19021,13,video
19023,43,imagenes
19024,51,video
19026,43,imagenes
19027,28,audio
19028,48,audio
19031,39,video
19036,11,video
19038,39,spam
19039,4,imagenes
19040,17,spam
19041,61,audio
19042,59,audio
19043,28,video
19047,9,video
19048,52,audio
19051,71,video
19053,57,imagenes
19054,37,spam
19057,23,video
19058,9,audio
19060,30,spam
19062,8,audio
19063,40,imagenes
19064,57,video
19065,49,video
19066,63,video
19069,7,imagenes
19072,33,spam
19074,57,imagenes
19077,54,video
19080,69,spam
19082,42,audio
19083,89,video
19084,60,audio
19085,74,audio
19086,84,video
19089,21,imagenes
19090,48,audio
19092,82,imagenes
19093,33,audio
19095,83,video
19097,16,audio
19100,44,audio
19103,53,audio
19106,48,spam
19111,55,imagenes
19113,29,audio
19115,82,video
19116,18,spam
19117,13,audio
19119,44,imagenes
19120,31,video
19122,68,imagenes
19126,79,audio
19130,30,audio
